order_date,order_platform,order_revenue_source,order_sale_type,order_country,order_state,customer_type,order_discount_code,num_orders,order_revenue,order_refund,item_quantity
9/12/22,Amazon,Amazon,DTC,United States Of America,HI,New,Fba Subscribe  Save Discount,1,46.98541985,0,1
9/12/22,Amazon,Amazon,DTC,United States Of America,WA,New,Fba Subscribe  Save Discount,1,46.98541985,0,1
2/16/23,Amazon,Amazon,DTC,United States Of America,OK,Existing,,2,43.17679127,0,2
12/16/22,Amazon,Amazon,DTC,United States Of America,FL,New,,15,354.2158735,0,15
12/21/22,Amazon,Amazon,DTC,United States Of America,CA,New,,16,420.836845,0,17
3/6/23,Amazon,Amazon,DTC,United States Of America,KS,New,,1,22.19064137,0,1
11/21/22,Amazon,Amazon,DTC,United States Of America,WV,Existing,Us Core Free Shipping Promotion A3ju1fcinf5sd0,1,22.4346336,0,1
11/20/22,Amazon,Amazon,DTC,United States Of America,SD,New,,1,22.4346336,0,1
11/20/22,Amazon,Amazon,DTC,United States Of America,OH,New,,1,22.4346336,0,1
11/20/22,Amazon,Amazon,DTC,United States Of America,WI,Existing,,1,22.4346336,0,1
11/21/22,Amazon,Amazon,DTC,United States Of America,MA,Existing,,2,44.8692672,0,2
11/20/22,Amazon,Amazon,DTC,United States Of America,MA,Existing,,1,44.8692672,0,1
12/13/22,Amazon,Amazon,DTC,Canada,Unknown,Existing,,4,122.8283534,0,4
1/31/23,Amazon,Amazon,DTC,United States Of America,CA,New,,9,224.4764228,0,9
10/15/22,Amazon,Amazon,DTC,United States Of America,SC,New,,1,43.54172546,0,1
10/28/22,Amazon,Amazon,DTC,United States Of America,TX,Existing,Fba Subscribe  Save Discount,2,41.94198833,0,2
3/6/23,Amazon,Amazon,DTC,United States Of America,OR,New,,1,22.19064137,0,1
2/16/23,Amazon,Amazon,DTC,United States Of America,IL,New,,2,43.17679127,0,2
3/5/23,Amazon,Amazon,DTC,United States Of America,TN,New,,2,44.33611787,0,2
1/17/23,Amazon,Amazon,DTC,United States Of America,PA,New,Us Core Free Shipping Promotion A3ju1fcinf5sd0,1,21.5244408,0,1
1/18/23,Amazon,Amazon,DTC,United States Of America,WI,New,,1,21.5244408,0,1
1/17/23,Amazon,Amazon,DTC,United States Of America,OK,New,,1,21.5244408,0,1
1/17/23,Amazon,Amazon,DTC,United States Of America,FL,New,Us Core Free Shipping Promotion A3ju1fcinf5sd0,1,21.5244408,0,1
1/17/23,Amazon,Amazon,DTC,United States Of America,AZ,New,,2,43.0488816,0,2
9/22/22,Amazon,Amazon,DTC,United States Of America,GA,Existing,,2,67.79423869,0,3
10/7/22,Amazon,Amazon,DTC,United States Of America,GA,New,,4,93.72116754,0,4
10/24/22,Amazon,Amazon,DTC,Australia,Unknown,New,,26,825.87,0,30
10/16/22,Amazon,Amazon,DTC,United States Of America,MO,New,,6,164.4551128,0,6
1/18/23,Amazon,Amazon,DTC,United States Of America,MN,Existing,,1,43.0488816,0,1
1/17/23,Amazon,Amazon,DTC,Singapore,Unknown,New,Pawsv22684480761591,1,28.05089427,0,1
3/5/23,Amazon,Amazon,DTC,United States Of America,HI,New,,1,22.1454765,0,1
1/21/23,Amazon,Amazon,DTC,United States Of America,WA,Existing,,1,21.68613793,0,1
1/21/23,Amazon,Amazon,DTC,United States Of America,UT,Existing,,1,21.68613793,0,1
1/21/23,Amazon,Amazon,DTC,United States Of America,IA,New,Us Core Free Shipping Promotion A3ju1fcinf5sd0,1,43.37227586,0,2
12/18/22,Amazon,Amazon,DTC,United States Of America,WI,New,Us Core Free Shipping Promotion A3ju1fcinf5sd0,1,53.59641597,0,1
12/2/22,Amazon,Amazon,DTC,United States Of America,NY,Existing,,4,88.07241089,0,4
1/22/23,Amazon,Amazon,DTC,New Zealand,Unknown,New,,1,19.91,0,1
3/5/23,Amazon,Amazon,DTC,United States Of America,MI,New,,1,22.1454765,0,1
3/5/23,Amazon,Amazon,DTC,United States Of America,OR,New,,1,22.1454765,0,1
1/20/23,Amazon,Amazon,DTC,United States Of America,AR,New,,1,21.68613793,0,1
1/20/23,Amazon,Amazon,DTC,United States Of America,MD,New,,2,43.37227586,0,2
1/20/23,Amazon,Amazon,DTC,United States Of America,SD,New,,1,43.37227586,0,2
1/21/23,Amazon,Amazon,DTC,United States Of America,CT,Existing,,1,43.37227586,0,1
1/21/23,Amazon,Amazon,DTC,United States Of America,WA,New,,2,43.37227586,0,2
12/11/22,Amazon,Amazon,DTC,United States Of America,WI,Existing,Subscribe And Save Promotion V2,1,22.05060479,0,1
12/10/22,Amazon,Amazon,DTC,United States Of America,TX,Existing,,1,22.05060479,0,1
12/10/22,Amazon,Amazon,DTC,United States Of America,VA,New,,1,22.05060479,0,1
12/10/22,Amazon,Amazon,DTC,United States Of America,PA,New,,1,22.05060479,0,1
3/7/23,Amazon,Amazon,DTC,United States Of America,LA,New,,7,187.7819957,0,7
1/27/23,Amazon,Amazon,DTC,United States Of America,MA,New,,5,105.2859825,0,5
2/6/23,Amazon,Amazon,DTC,United States Of America,FL,New,,7,182.0381274,0,7
10/11/22,Amazon,Amazon,DTC,United States Of America,NY,New,,3,71.44374906,0,3
12/4/22,Amazon,Amazon,DTC,United States Of America,MN,New,,4,141.2047216,0,4
3/1/23,Amazon,Amazon,DTC,Canada,Unknown,New,Ca Core Free Shipping  A1mktv4oyo2hj1,6,123.3465879,0,6
11/2/22,Amazon,Amazon,DTC,United States Of America,HI,New,,1,23.43725474,0,1
12/22/22,Amazon,Amazon,DTC,United States Of America,NY,New,,1,40.20557253,0,1
10/19/22,Amazon,Amazon,DTC,United States Of America,NV,New,,3,90.59705628,0,3
11/24/22,Amazon,Amazon,DTC,Canada,Unknown,Existing,,2,37.92637935,0,2
